Name,Number_of_EQC,Average_Size_of_EQC,Average_Number_of_Edges,TMH,Comp
AC-2019-0,10267.0,212.17113,0.0,0.0,0.0
AC-2019-1,9894.0,238.13402,0.0,0.0,0.0
AC-2019-2,10009.0,236.07832,0.0,0.0,0.0
AC-2019-3,10662.0,205.93565,9.014725,48077.78,1.0
AC-2019-4,10127.0,224.85416,8.573121,43428.133,1.0
AC-2019-5,9118.0,310.43835,7.9105067,36077.977,1.0
AC-2019-6,8788.0,357.21906,8.083068,35533.508,1.0
AC-2019-7,9687.0,216.67688,8.362651,40522.168,1.0
AC-2019-8,9062.0,323.50186,8.061024,36540.145,1.0
AC-2019-9,8675.0,329.61993,7.742709,33598.598,1.0
AC-2019-10,8969.0,314.001,8.139481,36517.47,1.0
AC-2019-11,8858.0,333.03522,8.301648,36795.332,1.0
AC-2019-12,9341.0,328.39523,7.9288087,37054.664,1.0
AC-2019-13,9016.0,312.90384,8.222826,37112.766,1.0
AC-2019-14,8822.0,315.1069,7.9904785,35267.547,1.0
AC-2019-15,8943.0,284.54736,7.8683887,35202.05,1.0
AC-2019-16,8508.0,323.78796,8.039727,34220.637,1.0
AC-2019-17,8784.0,314.4423,8.083333,35516.84,1.0
AC-2019-18,8471.0,355.96613,7.827175,33169.645,1.0
AC-2019-19,9903.0,196.12178,8.579219,42498.438,1.0
AC-2019-20,9906.0,203.09833,8.542398,42327.727,1.0
AC-2019-21,10612.0,173.95947,8.201564,43533.137,1.0
AC-2019-22,9882.0,207.15614,8.122748,40153.785,1.0
AC-2019-23,9407.0,256.56778,8.035718,37810.406,1.0
AC-2019-24,11387.0,150.29533,8.625538,49128.723,1.0
AC-2019-25,9857.0,210.44121,8.0373335,39629.387,1.0
AC-2019-26,10509.0,165.20706,8.483776,44599.44,1.0
AC-2019-27,9564.0,192.22899,8.413425,40250.23,1.0
AC-2019-28,9814.0,181.21887,8.7823515,43122.28,1.0
AC-2019-29,9715.0,190.35501,8.710345,42341.035,1.0
AC-2019-30,9696.0,181.92378,8.474319,41110.79,1.0
AC-2019-31,9699.0,173.50212,8.113929,39369.82,1.0
AC-2019-32,10362.0,155.19263,7.799749,40427.438,1.0
AC-2019-33,10164.0,161.48584,7.8366785,39866.547,1.0
AC-2019-34,10126.0,169.76862,8.123642,41155.11,1.0
AC-2019-35,9932.0,176.44463,8.675997,43140.44,1.0
AC-2019-36,9911.0,172.67854,8.628493,42792.05,1.0
AC-2019-37,9879.0,192.42413,7.9731755,39405.52,1.0
AC-2019-38,10132.0,194.04501,8.42884,42731.652,1.0
AC-2019-39,9766.0,181.6368,8.150317,39843.863,1.0
AC-2019-40,10041.0,174.38582,7.983866,40103.59,1.0
AC-2019-41,10135.0,206.00247,8.133991,41241.65,1.0
AC-2019-42,10299.0,210.45636,8.01068,41276.03,1.0
AC-2019-43,10248.0,193.0522,8.136026,41707.4,1.0
AC-2019-44,11156.0,177.40302,8.538724,47646.29,1.0
AC-2019-45,10712.0,180.87611,8.037435,43062.71,1.0
AC-2019-46,10744.0,186.82996,8.554356,45978.062,1.0
AC-2019-47,10938.0,143.26138,8.031724,43940.754,1.0
AC-2019-48,11670.0,182.806,7.95467,46433.125,1.0
AC-2019-49,10521.0,192.90439,8.557266,45032.742,1.0
